Vardas              Pavarde             ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    Egz.    
Vardenis1           Pavardenis1         6       8       7       4       4       7       2       7       1       3       5       
Vardenis2           Pavardenis2         5       1       1       10      7       9       3       2       10      2       8       
Vardenis3           Pavardenis3         5       5       10      10      8       9       2       1       8       5       2       
Vardenis4           Pavardenis4         3       1       4       6       8       10      4       9       3       6       4       
Vardenis5           Pavardenis5         9       2       4       7       10      5       10      9       4       8       5       
Vardenis6           Pavardenis6         10      3       5       8       9       4       6       4       8       9       1       
Vardenis7           Pavardenis7         3       5       7       2       7       2       1       3       1       5       4       
Vardenis8           Pavardenis8         2       2       5       7       9       9       6       2       3       1       5       
Vardenis9           Pavardenis9         3       6       8       7       9       2       3       5       10      3       4       
Vardenis10          Pavardenis10        5       6       10      2       2       6       3       8       2       1       8       
Vardenis11          Pavardenis11        1       1       2       1       10      5       3       7       1       3       10      
Vardenis12          Pavardenis12        6       9       2       1       8       4       5       3       10      2       8       
Vardenis13          Pavardenis13        7       6       5       5       10      8       9       8       8       6       3       
Vardenis14          Pavardenis14        3       7       2       10      6       7       5       6       9       3       7       
Vardenis15          Pavardenis15        7       8       2       6       3       4       10      2       7       6       4       
Vardenis16          Pavardenis16        4       7       9       8       5       4       6       5       2       4       9       
Vardenis17          Pavardenis17        8       2       6       8       6       6       1       5       6       7       3       
Vardenis18          Pavardenis18        4       8       10      5       10      5       7       4       5       8       8       
Vardenis19          Pavardenis19        3       1       3       8       5       8       3       4       1       4       3       
Vardenis20          Pavardenis20        3       5       4       3       6       6       6       2       1       4       1       
Vardenis21          Pavardenis21        5       3       10      6       2       6       9       9       10      3       10      
Vardenis22          Pavardenis22        4       5       9       5       7       1       8       9       10      8       2       
Vardenis23          Pavardenis23        2       1       8       5       2       3       9       8       7       9       3       
Vardenis24          Pavardenis24        7       8       3       7       3       7       6       10      4       7       2       
Vardenis25          Pavardenis25        3       8       7       2       1       3       6       6       5       5       2       
Vardenis26          Pavardenis26        6       2       5       7       7       4       2       5       6       9       5       
Vardenis27          Pavardenis27        4       10      9       6       3       2       9       6       9       3       9       
Vardenis28          Pavardenis28        8       9       5       10      5       2       1       10      8       10      3       
Vardenis29          Pavardenis29        1       9       4       8       7       5       5       10      9       5       2       
Vardenis30          Pavardenis30        4       6       7       8       8       1       5       5       4       1       4       
Vardenis31          Pavardenis31        10      4       4       4       4       10      4       6       6       6       4       
Vardenis32          Pavardenis32        3       7       2       8       10      10      3       3       3       4       9       
Vardenis33          Pavardenis33        1       7       7       3       10      6       4       2       10      9       8       
Vardenis34          Pavardenis34        2       3       8       10      7       3       10      3       2       9       5       
