Vardas              Pavarde             Galutinis (vid.)  
-------------------------------------------------------------------
Vardenis6           Pavardenis6         2.64              
Vardenis11          Pavardenis11        4.24              
Vardenis14          Pavardenis14        3.24              
Vardenis15          Pavardenis15        3.48              
Vardenis17          Pavardenis17        3.28              
Vardenis18          Pavardenis18        4.92              
Vardenis20          Pavardenis20        4.76              
Vardenis21          Pavardenis21        4.00              
Vardenis25          Pavardenis25        4.96              
Vardenis27          Pavardenis27        2.76              
Vardenis29          Pavardenis29        4.92              
Vardenis30          Pavardenis30        2.28              
Vardenis33          Pavardenis33        3.12              
Vardenis36          Pavardenis36        4.68              
Vardenis39          Pavardenis39        2.80              
Vardenis40          Pavardenis40        3.04              
Vardenis41          Pavardenis41        4.60              
Vardenis45          Pavardenis45        3.68              
Vardenis53          Pavardenis53        4.60              
Vardenis57          Pavardenis57        3.56              
Vardenis60          Pavardenis60        2.88              
Vardenis62          Pavardenis62        3.64              
Vardenis64          Pavardenis64        2.92              
Vardenis66          Pavardenis66        3.80              
Vardenis68          Pavardenis68        4.20              
Vardenis69          Pavardenis69        4.44              
Vardenis71          Pavardenis71        4.00              
Vardenis73          Pavardenis73        2.56              
Vardenis75          Pavardenis75        3.96              
Vardenis81          Pavardenis81        3.44              
Vardenis85          Pavardenis85        4.04              
Vardenis86          Pavardenis86        3.64              
Vardenis88          Pavardenis88        4.16              
Vardenis90          Pavardenis90        4.88              
Vardenis91          Pavardenis91        3.52              
Vardenis94          Pavardenis94        3.28              
Vardenis100         Pavardenis100       2.68              
Vardenis102         Pavardenis102       3.32              
Vardenis107         Pavardenis107       3.28              
Vardenis109         Pavardenis109       4.72              
Vardenis112         Pavardenis112       3.96              
Vardenis114         Pavardenis114       4.32              
Vardenis115         Pavardenis115       3.32              
Vardenis119         Pavardenis119       3.28              
Vardenis120         Pavardenis120       3.20              
Vardenis124         Pavardenis124       3.04              
Vardenis128         Pavardenis128       4.60              
Vardenis129         Pavardenis129       4.04              
Vardenis130         Pavardenis130       4.12              
Vardenis132         Pavardenis132       4.56              
Vardenis135         Pavardenis135       4.00              
Vardenis138         Pavardenis138       4.24              
Vardenis139         Pavardenis139       3.68              
Vardenis140         Pavardenis140       3.72              
Vardenis142         Pavardenis142       2.84              
Vardenis143         Pavardenis143       2.84              
Vardenis147         Pavardenis147       2.56              
Vardenis151         Pavardenis151       3.20              
Vardenis153         Pavardenis153       4.44              
Vardenis156         Pavardenis156       4.44              
